"sn","bi2","n_tested","n_positive","positivity","lon","lat"
21059,"1. Agugu",1,0,0,3.93413591384888,7.38186168670654
21060,"1. Agugu",3,0,0,3.93318009376526,7.38153314590454
21061,"1. Agugu",1,0,0,3.93318009376526,7.38153314590454
21062,"1. Agugu",1,0,0,3.93317198753357,7.38218832015991
21063,"1. Agugu",1,0,0,3.93237161636353,7.38305568695068
21066,"1. Agugu",2,0,0,3.93231606483459,7.38188409805298
21067,"1. Agugu",2,0,0,3.93325185775757,7.38188409805298
21068,"1. Agugu",4,0,0,3.93231606483459,7.38288497924805
21069,"1. Agugu",3,0,0,3.93231606483459,7.38188409805298
21070,"1. Agugu",3,0,0,3.93241715431213,7.38198709487915
21071,"1. Agugu",3,0,0,3.93231606483459,7.38188409805298
21072,"1. Agugu",3,0,0,3.93261218070984,7.38349390029907
21073,"1. Agugu",2,0,0,3.93267583847046,7.38366794586182
21074,"1. Agugu",3,0,0,3.93295764923096,7.38350439071655
21075,"1. Agugu",1,0,0,3.93349885940552,7.38153028488159
21076,"1. Agugu",5,0,0,3.93257117271423,7.38380479812622
21077,"1. Agugu",1,0,0,3.93277287483215,7.38378524780273
21078,"1. Agugu",1,0,0,3.93334197998047,7.38485383987427
21079,"1. Agugu",1,0,0,3.93334197998047,7.38484382629395
21080,"1. Agugu",2,0,0,3.93349885940552,7.38388967514038
21081,"1. Agugu",1,0,0,3.93334197998047,7.38483858108521
21082,"1. Agugu",1,1,1,3.93289303779602,7.38386964797974
21083,"1. Agugu",2,0,0,3.93350195884705,7.38453006744385
21084,"1. Agugu",1,0,0,3.93350195884705,7.38453006744385
21085,"1. Agugu",3,1,0.333333333333333,3.92873620986938,7.37922811508179
21086,"1. Agugu",4,0,0,3.93343019485474,7.38451385498047
21087,"1. Agugu",2,0,0,3.93354988098145,7.38455629348755
21088,"1. Agugu",2,0,0,3.93334197998047,7.38484382629395
21089,"1. Agugu",1,0,0,3.93126893043518,7.37952756881714
21090,"1. Agugu",3,1,0.333333333333333,3.9338173866272,7.38523530960083
21091,"1. Agugu",5,0,0,3.93531966209412,7.3815450668335
21092,"1. Agugu",4,0,0,3.93412923812866,7.38239622116089
21094,"1. Agugu",1,1,1,3.93453335762024,7.38242149353027
21097,"1. Agugu",0,0,NA,3.93475818634033,7.38254165649414
